Simbolo,Empresa,Sector,Sub Industria
A,Agilent Technologies,Health Care,Health Care Equipment
AAL,American Airlines Group,Industrials,Passenger Airlines
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie,Health Care,Pharmaceuticals
ABC,AmerisourceBergen,Health Care,Health Care Distributors
ABT,Abbott,Health Care,Health Care Equipment
ACGL,Arch Capital Group,Financials,Reinsurance
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
ADI,Analog Devices,Information Technology,Semiconductors
ADM,ADM,Consumer Staples,Agricultural Products & Services
ADP,ADP,Industrials,Human Resource & Employment Services
ADSK,Autodesk,Information Technology,Application Software
AEE,Ameren,Utilities,Multi-Utilities
AEP,American Electric Power,Utilities,Electric Utilities
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
AIG,American International Group,Financials,Property & Casualty Insurance
AIZ,Assurant,Financials,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,Akamai,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,Align Technology,Health Care,Health Care Supplies
ALK,Alaska Air Group,Industrials,Passenger Airlines
ALL,Allstate,Financials,Property & Casualty Insurance
ALLE,Allegion,Industrials,Building Products
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AMD,AMD,Information Technology,Semiconductors
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,American Tower,Real Estate,Telecom Tower REITs
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
ANET,Arista Networks,Information Technology,Communications Equipment
ANSS,Ansys,Information Technology,Application Software
AON,Aon,Financials,Insurance Brokers
AOS,A. O. Smith,Industrials,Building Products
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,Air Products and Chemicals,Materials,Industrial Gases
APH,Amphenol,Information Technology,Electronic Components
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ATO,Atmos Energy,Utilities,Gas Utilities
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
AVB,AvalonBay Communities,Real Estate,Residential REITs
AVGO,Broadcom Inc.,Information Technology,Semiconductors
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AWK,American Water Works,Utilities,Water Utilities
AXP,American Express,Financials,Consumer Finance
AZO,AutoZone,Consumer Discretionary,Specialty Stores
BA,Boeing,Industrials,Aerospace & Defense
BAC,Bank of America,Financials,Diversified Banks
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,Baxter International,Health Care,Health Care Equipment
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BDX,Becton Dickinson,Health Care,Health Care Equipment
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services
BIIB,Biogen,Health Care,Biotechnology
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLK,BlackRock,Financials,Asset Management & Custody Banks
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BRO,Brown & Brown,Financials,Insurance Brokers
BSX,Boston Scientific,Health Care,Health Care Equipment
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
BXP,Boston Properties,Real Estate,Office REITs
C,Citigroup,Financials,Diversified Banks
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
CAH,Cardinal Health,Health Care,Health Care Distributors
CARR,Carrier Global,Industrials,Building Products
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CB,Chubb Limited,Financials,Property & Casualty Insurance
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate,Real Estate Services
CCI,Crown Castle,Real Estate,Telecom Tower REITs
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDAY,Ceridian,Information Technology,Application Software
CDNS,Cadence Design Systems,Information Technology,Application Software
CDW,CDW,Information Technology,Technology Distributors
CE,Celanese,Materials,Specialty Chemicals
CEG,Constellation Energy,Utilities,Multi-Utilities
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
